fecha;ID_3325225;ID_3497201;ID_1489271;ID_1272719;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/7/2020;604.506 ;3.012.071 ;1.954.483 ;2.274.965 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/8/2020;588.701 ;3.274.107 ;2.536.432 ;3.623.647 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/9/2020;573.441 ;3.433.997 ;1.744.318 ;5.909.571 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/10/2020;376.448 ;3.856.583 ;1.658.743 ;3.592.718 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/11/2020;554.130 ;4.517.003 ;1.519.243 ;3.784.418 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/12/2020;543.411 ;4.608.951 ;1.882.514 ;4.318.021 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/1/2021;603.954 ;4.552.388 ;1.780.625 ;4.197.738 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/2/2021;591.918 ;4.406.149 ;2.068.153 ;4.649.313 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/3/2021;7.179.479 ;4.331.697 ;1.556.288 ;3.711.475 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/4/2021;577.096 ;4.252.469 ;1.613.760 ;4.151.328 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/5/2021;718.433 ;4.342.640 ;1.696.725 ;3.807.661 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/6/2021;702.990 ;4.317.328 ;1.901.988 ;3.845.495 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/7/2021;712.234 ;3.830.603 ;1.732.933 ;3.843.630 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/8/2021;694.225 ;4.056.465 ;1.602.149 ;5.405.808 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/9/2021;5.974.618 ;4.074.014 ;1.936.097 ;4.381.029 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/10/2021;666.341 ;4.034.838 ;7.790.495 ;4.343.473 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/11/2021;781.841 ;4.026.480 ;1.828.279 ;4.393.417 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/12/2021;757.054 ;3.901.877 ;1.941.907 ;4.280.888 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/1/2022;718.233 ;4.104.242 ;1.797.564 ;3.776.824 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/2/2022;712.535 ;4.185.539 ;1.672.959 ;5.303.876 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/3/2022;25.679.433 ;18.348.494 ;21.567.323 ;26.369.900 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/4/2022;591.004 ;4.328.831 ;1.585.587 ;4.468.641 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/5/2022;573.487 ;4.336.687 ;1.706.459 ;3.842.063 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/6/2022;559.490 ;4.159.012 ;1.940.063 ;3.663.677 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/7/2022;1.032.376 ;3.668.465 ;1.364.855 ;4.770.531 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/8/2022;535.138 ;3.573.173 ;1.541.844 ;3.935.870 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/9/2022;501.575 ;3.504.203 ;1.599.256 ;3.744.273 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1/10/2022;509.121 ;3.947.734 ;1.555.622 ;3.665.499 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
